utterance,Pred_vi,Actual_vi,Pred_slots,Actual_slots,vi_result,slot_result,overall_success
Turn off cooktop hood,device-turnOff,device-turnOff,"{""device"": ""cooktop hood""}","{""device"": ""cooktop hood""}",True,True,True
Turn off cooktop hood,device-turnOff,device-turnOff,"{""device"": ""cooktop hood""}","{""device"": ""cooktop hood""}",True,True,True
Turn off microwave hood,device-turnOff,device-turnOff,"{""device"": ""microwave hood""}","{""device"": ""microwave hood""}",True,True,True
Turn off the mood lighting,device-turnOff,device-turnOff,"{""device"": ""mood lighting""}","{""device"": ""mood lighting""}",True,True,True
Turn off the vent switch,device-turnOff,device-turnOff,"{""device"": ""vent""}","{""device"": ""vent switch""}",True,False,False
Turn off interior lighting of hall,device-turnOff,device-turnOff,"{""device"": ""lighting""}","{""device"": ""interior lighting"", ""location"": ""hall""}",True,False,False
Pause the cleaning,cleaning-stop,cleaning-pause,"{""location"": ""house"", ""room"": ""Living Room""}",{},False,False,False
Cancel washing,device-turnOff,washing-cancel,"{""device"": ""washing machine""}",{},False,False,False
Cancel upper washer,device-turnOff,washing-cancel,"{""device"": ""upper washer""}","{""device"": ""washer"", ""predefinedCompartment:upper"": ""upper""}",False,False,False
Cancel lower washer,device-turnOff,washing-cancel,"{""device"": ""washer""}","{""device"": ""washer"", ""predefinedCompartment:lower"": ""lower""}",False,False,False
Cancel shoe dresser,device-turnOff,dressing-cancel,"{""device"": ""shoe dresser""}","{""device"": ""shoe dresser""}",False,True,False
Turn up the projector volume,volume-setValue,volume-increase,"{""device"": ""projector"", ""volume"": ""40""}","{""device"": ""projector""}",False,False,False
Turn up the projector volume by 2,volume-increase,volume-increase,"{""device"": ""projector"", ""value"": ""2""}","{""device"": ""projector"", ""volume"": ""2""}",True,False,False
Turn up the monitor volume,volume-setValue,volume-increase,"{""device"": ""monitor"", ""volume"": ""40""}","{""device"": ""monitor""}",False,False,False
